State,Chattisgarh,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Madhya Pradesh,Odisha,Punjab,Rajasthan,Uttar Pradesh,West Bengal,Tomato,State.1,Chattisgarh,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Madhya Pradesh,Odisha,Punjab,Rajasthan,Uttar Pradesh,West Bengal,Potato,State.2,Chattisgarh,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Madhya Pradesh,Odisha,Punjab,Rajasthan,Uttar Pradesh,West Bengal,Cabbage,State.3,Chattisgarh,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Madhya Pradesh,Odisha,Punjab,Rajasthan,Uttar Pradesh,West Bengal,Ladyâ€™s Finger,State.4,Chattisgarh,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Madhya Pradesh,Odisha,Punjab,Rajasthan,Uttar Pradesh,West Bengal,cauliflower,State.5,Chattisgarh,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Madhya Pradesh,Odisha,Punjab,Rajasthan,Uttar Pradesh,West Bengal,brinjal,State.6,State,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Madhya Pradesh,Odisha,Punjab,Rajasthan,Uttar Pradesh,West Bengal
Wk1.feb.20.26.,2600,2041.667,2500,3250,1875,4240,1250.25,2800,1450,1975,2271.667,3316.667,,Wk1.feb.20.26..1,557.1429,520,1171.4286,1600,541.6667,2214.2857,863.8333,1160,641.6667,792.8571,951,500,,Wk1.feb.20.26..2,1400,1225,983.3333,1120,2000,3200,933.3333,2200,664.2857,1280,1046.25,1400,,Wk1.feb.20.26..3,740,340,694,1160,433.3333,1866.6667,1425.7143,1800,716.6667,550,851.6667,664.2857,,Wk1.feb.20.26..4,4450,2658.333,5000,5383.333,1350,2316.667,3734.429,4383.333,2150,2700,2139,8285.714,,Wk1.feb.20.26..5,1000,595.8333,1114.2857,920,383.3333,3742.8571,1713.7143,2500,861.4286,658.3333,888.3333,457.1429,,Wk1.feb.20.26..6,2300,2150,3216.6667,2500,983.3333,2528.5714,1315.7143,2200,1366.6667,1420,1268.3333,2750
Wk2.feb.27.4march.,2366.667,2125,2500,2700,1683.333,4460,1356,2800,1358.333,2228.571,2145,2912.5,,Wk2.feb.27.4march..1,400,430,960,1500,541.6667,2060,516.5,1058.3333,641.6667,750,953.3333,428.5714,,Wk2.feb.27.4march..2,1600,1137.5,1021.4286,1260,2000,3200,920,2200,707.1429,1080,1085,1400,,Wk2.feb.27.4march..3,620,333.3333,700,1125,458.3333,1733.3333,1659.3333,1366.6667,833.3333,671.4286,825,485.7143,,Wk2.feb.27.4march..4,3010,2800,4900,5325,1400,2340,3308.667,3800,1866.667,3025,2223.333,7242.857,,Wk2.feb.27.4march..5,733.3333,616.6667,1280,1316.6667,466.6667,3080,1872.8333,2540,900,716.6667,831.6667,397.8571,,Wk2.feb.27.4march..6,2066.667,2300,2100,2420,800,2140,1379.333,1750,1220,1507.143,1426.667,1850
Wk3.march.5...11.,2100,1762.5,2100,2471.429,1483.333,5250,950,2750,1290.833,2020,2112.5,2662.5,,Wk3.march.5...11..1,250,415,880,1420,800,2128.5714,733.25,884,616.6667,700,995,628.5714,,Wk3.march.5...11..2,1600,1120,1033.3333,1440,2000,3066.6667,1000,2200,728.5714,1140,1175,1400,,Wk3.march.5...11..3,487.5,366.6667,833.3333,1000,400,1720,1516.3333,1428.5714,1183.3333,780,812.5,435.7143,,Wk3.march.5...11..4,3487.5,2825,4833.333,5466.667,1716.667,2166.667,2654.167,2900,2083.333,2860,2260,6857.143,,Wk3.march.5...11..5,862.5,356.25,1280,1540,733.3333,3142.8571,1730.6667,2200,1314.2857,800,825,308.3333,,Wk3.march.5...11..6,2100,2300,1900,2440,760,2242.857,1533.167,1190,1333.333,1425,1362.5,975
Wk4.mar12.18.,2200,1841.667,1841.667,2820,1500,5350,1038.333,2800,1266.667,1791.667,2065,2620,,Wk4.mar12.18..1,550,450,1020,1740,750,2114.2857,516.5,518.3333,683.3333,683.3333,1020,500,,Wk4.mar12.18..2,1600,1183.3333,1428.5714,1660,2000,3171.4286,985.7143,2200,721.4286,1066.6667,1240,1392.8571,,Wk4.mar12.18..3,500,400,700,1070,391.6667,1760,1687.5,1650,1000,775,883.3333,428.5714,,Wk4.mar12.18..4,3300,2716.667,5416.667,5280,1520,2550,2709.667,2600,2166.667,2633.333,2150,5771.429,,Wk4.mar12.18..5,910,525,1460,1580,800,3142.8571,1829.3333,2233.3333,1557.1429,1064.2857,945,239.2857,,Wk4.mar12.18..6,2250,2350,2016.667,2300,830,2442.857,1308.667,1008.333,1383.333,1433.333,1388.333,775
Wk5.mar19.25.,NA,1841.6667,2033.3333,3066.6667,1300,5533.3333,882.8571,2800,1400,1550,1862.5,2583.3333,,Wk5.mar19.25..1,750,600,1200,2200,1083.3333,2085.7143,566,600,1017.5,583.3333,883.3333,550,,Wk5.mar19.25..2,NA,1212.5,1566.6667,1766.6667,2000,3160,966.6667,2160,1040,1150,1354,1350,,Wk5.mar19.25..3,470,450,660,1050,520,2000,1709.333,1542.857,1000,650,837.5,790,,Wk5.mar19.25..4,2560,2708.333,5675,5500,1500,2816.667,2900.667,2666.667,2050,2550,2233.333,6100,,Wk5.mar19.25..5,1050,625,1500,1400,812.5,3085.714,1694.833,2666.667,1320,1400,957.5,390,,Wk5.mar19.25..6,2340,2600,2137.5,1966.6667,916.6667,2185.7143,1495.5,1030,1350,1300,1240,700
Wk6.mar26.1april.,2233.333,2500,2100,3400,1466.667,7150,730,NA,730,NA,1958.333,2683.333,,Wk6.mar26.1april..1,1000,670,1540,3066.6667,875,3350,533.3333,928.5714,1233.3333,910,1575,671.4286,,Wk6.mar26.1april..2,2000,1300,1600,2200,2000,4350,1150,2540,866.6667,1578.5714,2000,1500,,Wk6.mar26.1april..3,575,628.5714,637.5,1500,860,2566.6667,1523.5714,1442.8571,1533.3333,NA,908.3333,700,,Wk6.mar26.1april..4,1925,1783.333,5480,7933.333,NA,3220,2836,2525,2766.667,NA,2190,2300,,Wk6.mar26.1april..5,1600,841.6667,1260,1300,860,3525,1971.8571,2933.3333,1650,990,1033.3333,574.2857,,Wk6.mar26.1april..6,2000,2200,1866.667,1800,1166.667,3225,1886.143,1214.286,1460,1071.429,1341.667,1100
wk7..april.2.8.,1783.333,1416.667,1833.333,2625,1220,6683.333,NA,NA,1200,1900,1818.333,2058.333,,wk7..april.2.8..1,550,593.75,1560,2125,564.2857,2500,766.5,1014.2857,1425,1114.2857,1271.4286,575,,wk7..april.2.8..2,1850,1430,1380,2171.429,2000,4200,1075,2400,900,1525,1629.167,1325,,wk7..april.2.8..3,408.3333,433.3333,616.6667,1200,557.1429,2066.6667,1674.1429,1557.1429,925,NA,861.6667,542.8571,,wk7..april.2.8..4,1091.667,1800,6400,6475,1840,3883.333,2796.667,2028.571,2875,NA,2421.429,2328.571,,wk7..april.2.8..5,1875,1200,860,1814.2857,1108.3333,3257.1429,1881.2857,2750,1640,NA,961.6667,550,,wk7..april.2.8..6,2850,3050,2208.3333,1464.2857,1628.5714,3028.5714,1882.4286,1257.1429,1240,975,933.3333,1000
Wk8..april.9.15.,1183.3333,1240,1550,2187.5,866.6667,6566.6667,2000,2800,900,1521.4286,1841.6667,1689.2857,,Wk8..april.9.15..1,662.5,700,1514.2857,2300,564.2857,1916.6667,800,1078.5714,1280,1033.3333,1318.5714,1142.8571,,Wk8..april.9.15..2,1666.6667,1366.6667,1314.2857,1760,2094,4000,1150,2116.6667,857.1429,1642.8571,1511.6667,1307.1429,,Wk8..april.9.15..3,408.3333,435.7143,566.6667,1016.6667,442.8571,1600,1715.5714,1528.5714,920,620,850,608.5714,,Wk8..april.9.15..4,1091.667,1683.333,5800,6125,2000,4240,3615.286,2014.286,2540,3266.667,2325,2200,,Wk8..april.9.15..5,1983.3333,1567.8571,1000,1680,1100,3400,1880.4286,2300,1971.4286,1500,991.6667,470,,Wk8..april.9.15..6,2933.333,3133.333,2500,1160,1271.429,3150,1860.286,1164.286,1166.667,1100,850,1400
Wk9.apr.16.22.,1060,1000,1180,1600,883.3333,5366.6667,714.2857,2560,966.6667,1466.6667,1335,1633.3333,,Wk9.apr.16.22..1,721.4286,800,1525,NA,528.5714,1700,900,1335.7143,1850,914.2857,1012.8571,1371.4286,,Wk9.apr.16.22..2,1920,1479.1667,1483.3333,1471.4286,2000,4000,1057.1429,2233.3333,791.6667,1575,1488.3333,1600,,Wk9.apr.16.22..3,433.3333,1600,2180,NA,400,1700,2000,1642.8571,866.6667,500,875,875,,Wk9.apr.16.22..4,1116.667,1266.667,6175,5000,1950,3716.667,3052,2050,2033.333,3133.333,1757.857,1971.429,,Wk9.apr.16.22..5,1933.333,1058.333,925,1042.857,1108.333,3428.571,1844.8,1728.571,2180,1500,1058.333,NA,,Wk9.apr.16.22..6,1800,1750,1160,1950,1357.1429,4228.5714,966.6667,1800,683.3333,1366.6667,987.5,1700
Wk10.apr.23.29.,933.3333,1033.3333,983.3333,1533.3333,885,5133.3333,691.4286,2000,980,1287.5,1315,1571.4286,,Wk10.apr.23.29..1,708.3333,850,1180,NA,507.1429,1960,600,1437.5,2000,820,917.1429,1600,,Wk10.apr.23.29..2,1800,1500,1480,1650,2000,4085.7143,1000,2400,778.5714,1590,1580,1633.3333,,Wk10.apr.23.29..3,900,1402.6667,1633.3333,NA,400,1675,NA,2028.5714,900,487.5,841.6667,841.6667,,Wk10.apr.23.29..4,1050,1050,3983.333,4200,1640,2350,NA,1880,1920,2875,1560.714,2257.143,,Wk10.apr.23.29..5,2141.667,1006.25,980,620,1033.333,3120,NA,2180,1100,1480,1100,425,,Wk10.apr.23.29..6,1550,1350,2920,1800,1142.8571,4385.7143,816.6667,1800,714.2857,1600,869.1667,2000
